data,class
I am content with my life.,positive
I feel a sense of accomplishment.,positive
I am not enjoying my work.,negative
I am so excited about the future.,positive
I feel negative and unmotivated.,negative
I feel a sense of accomplishment.,positive
I feel negative and unmotivated.,negative
I am uncertain about my decisions.,negative
I am overwhelmed by everything.,negative
I am happy with my progress.,positive
I am dissatisfied with my life.,negative
I feel exhausted and unprepared for the day.,negative
I feel optimistic about the future.,positive
I feel confident in my abilities.,positive
I am not enjoying my work.,negative
I feel weak and incapable.,negative
I feel relaxed and at ease.,positive
I am dreading the weekend.,negative
I am anxious about the future.,negative
I feel energetic and ready to take on the day.,positive
I feel energetic and ready to take on the day.,positive
I am anxious about the future.,negative
I am enjoying my work.,positive
I feel a sense of accomplishment.,positive
I am disappointed in myself.,negative
I feel unsure of myself.,negative
I am discontent with my life.,negative
I am anxious about the future.,negative
I feel tense and uneasy.,negative
I am happy with my progress.,positive
I feel positive and motivated.,positive
I feel a sense of failure.,negative
I am enthusiastic about my goals.,positive
I feel optimistic about the future.,positive
I am in a good mood.,positive
I feel strong and capable.,positive
I am proud of my accomplishments.,positive
I am uncertain about my decisions.,negative
I am enjoying my work.,positive
I am overwhelmed by everything.,negative
I feel sad and down.,negative
Life is wonderful.,positive
I am feeling disconnected from others.,negative
I feel a sense of accomplishment.,positive
I feel a sense of accomplishment.,positive
I am not enjoying my work.,negative
I am discontent with my life.,negative
Life is wonderful.,positive
I feel uninspired and blocked.,negative
I am enjoying my work.,positive
I feel loved and appreciated.,positive
I feel stressed out.,negative
Life is wonderful.,positive
I feel inspired and creative.,positive
I feel positive and motivated.,positive
I am thankful for my friends and family.,positive
I am not enjoying my work.,negative
I am discontent with my life.,negative
I feel a sense of belonging.,positive
Life is wonderful.,positive
I am unhappy with my progress.,negative
I feel exhausted and unprepared for the day.,negative
I am not enjoying my time with loved ones.,negative
I am content with my life.,positive
I am feeling disconnected from others.,negative
I feel a sense of belonging.,positive
I am feeling disconnected from others.,negative
I feel loved and appreciated.,positive
I feel a sense of accomplishment.,positive
I am thankful for my friends and family.,positive
I feel at peace.,positive
I am overwhelmed by everything.,negative
I am pleased with my life.,positive
I am confident in my decisions.,positive
I am not enjoying my time with loved ones.,negative
